%%  seed (769) : [1565508328 1073660150 1395889105 1073539080 -143158687 1073029186 1397247613 1072781684 -1883071040 1072699929] ...  [1073460463 -56172066 1073298588 793429205 1072839592 -660985193 -1983540964 -1880642558 -93323074 363]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
808 	 3	 * 0.738782 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
808 	 15	 * 0.134264 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
808 	 5	 * 0.813013 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
813 	 12	 * 0.302543 *	1	3	[1]	 [0]
813 	 15	 * 0.707495 *	1	3	[1]	 [0]
813 	 16	 * 0.612323 *	1	3	[1]	 [0]
813 	 17	 * 0.93677 *	1	3	[1]	 [0]
818 	 9	 * 0.319767 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
818 	 13	 * 0.54533 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
818 	 12	 * 0.543572 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
818 	 14	 * 0.248317 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 9	 * 0.141954 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 14	 * 0.259684 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 1	 * 0.913095 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
834 	 42	 * 0.332015 *	1	3	[1]	 [0]
837 	 11	 * 0.724513 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
837 	 15	 * 0.283304 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
837 	 19	 * 0.459399 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
837 	 429	 * 0.80506 *	1	3	[1]	 [0]
843 	 18	 * 0.557315 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
843 	 7	 * 0.844741 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
843 	 11	 * 0.904816 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
843 	 270	 * 0.340886 *	1	3	[1]	 [0]
847 	 10	 * 0.314815 *	1	3	[0.995333 0.00466735]	 [0 1]
847 	 5	 * 0.624841 *	1	3	[0.995333 0.00466735]	 [0 1]
847 	 3	 * 0.698143 *	1	3	[0.995333 0.00466735]	 [0 1]
847 	 4	 * 0.0330452 *	1	3	[0.995333 0.00466735]	 [0 1]
848 	 7	 * 0.793876 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
848 	 15	 * 0.0557922 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
848 	 11	 * 0.371241 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
848 	 272	 * 0.774351 *	1	3	[1]	 [0]
849 	 0	 * 0.238209 *	1	3	[0.995333 0.00466735]	 [0 1]
849 	 5	 * 0.649692 *	1	3	[0.995333 0.00466735]	 [0 1]
849 	 3	 * 0.101553 *	1	3	[0.995333 0.00466735]	 [0 1]
849 	 4	 * 0.24744 *	1	3	[0.995333 0.00466735]	 [0 1]
851 	 14	 * 0.360924 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
851 	 8	 * 0.745836 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
851 	 20	 * 0.082921 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
851 	 13	 * 0.155134 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
856 	 5	 * 0.135194 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
856 	 3	 * 0.744625 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
856 	 20	 * 0.314977 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
856 	 4	 * 0.405966 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
864 	 18	 * 0.68293 *	1	3	[0.995333 0.00466735]	 [0 1]
864 	 8	 * 0.417704 *	1	3	[0.995333 0.00466735]	 [0 1]
864 	 6	 * 0.0453414 *	1	3	[0.995333 0.00466735]	 [0 1]
864 	 7	 * 0.89159 *	1	3	[0.995333 0.00466735]	 [0 1]
870 	 6	 * 0.447074 *	1	3	[0.995333 0.00466735]	 [0 1]
870 	 18	 * 0.603564 *	1	3	[0.995333 0.00466735]	 [0 1]
870 	 12	 * 0.600298 *	1	3	[0.995333 0.00466735]	 [0 1]
870 	 8	 * 0.721586 *	1	3	[0.995333 0.00466735]	 [0 1]
871 	 5	 * 0.590826 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
871 	 15	 * 0.170135 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
871 	 20	 * 0.191676 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
871 	 3	 * 0.22321 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
880 	 4	 * 0.0688799 *	1	30	[0.995333 0.00466735]	 [0 1]
880 	 3	 * 0.425906 *	1	30	[0.995333 0.00466735]	 [0 1]
880 	 5	 * 0.4953 *	1	30	[0.995333 0.00466735]	 [0 1]
880 	 6	 * 0.376956 *	1	30	[0.995333 0.00466735]	 [0 1]
