
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
       634   -609.68   1318.02      1.50      1.00      2.00   1452.20   1452.20   1452.20    569.05    569.05    569.05    998.48    998.48    998.48    737.00    737.00    737.00   1374.61   1374.61   1374.61    465.09    465.09    465.09   1198.19   1198.19   1198.19
       635    779.92  -1104.45      1.50      1.00      2.00   1352.06   1352.06   1352.06   1126.16   1126.16   1126.16    367.67    367.67    367.67   1301.93   1301.93   1301.93    665.12    665.12    665.12    758.52    758.52    758.52   1001.11   1001.11   1001.11
       636   -893.02   1098.11      1.50      0.00      2.00   1415.39   1415.39   1415.39    642.96    642.96    642.96    649.83    649.83    649.83   1095.18   1095.18   1095.18   1103.31   1103.31   1103.31    456.41    456.41    456.41   1412.21   1412.21   1412.21
       637   -439.85    242.90      1.50      1.00      2.00    502.46    502.46    502.46   1460.19   1460.19   1460.19   1453.65   1453.65   1453.65   1110.58   1110.58   1110.58    610.55    610.55    610.55    626.05    626.05    626.05   1127.67   1127.67   1127.67
       638  -1290.95    315.97      1.50      0.00      2.00   1329.06   1329.06   1329.06   1200.36   1200.36   1200.36    588.47    588.47    588.47   1422.24   1422.24   1422.24    429.52    429.52    429.52    963.43    963.43    963.43    776.26    776.26    776.26
       639   -343.80   -972.38      1.50      0.00      2.00   1031.37   1031.37   1031.37   1161.08   1161.08   1161.08    850.47    850.47    850.47    188.96    188.96    188.96   1173.08   1173.08   1173.08   1003.88   1003.88   1003.88    833.89    833.89    833.89
       640   -704.83    185.31      1.50      0.00      2.00    728.79    728.79    728.79   1318.20   1318.20   1318.20   1046.76   1046.76   1046.76   1071.13   1071.13   1071.13    348.52    348.52    348.52    710.89    710.89    710.89   1308.36   1308.36   1308.36
       641   -600.74    540.44      1.50      0.00      2.00    808.06    808.06    808.06   1256.77   1256.77   1256.77    956.40    956.40    956.40   1334.52   1334.52   1334.52    671.93    671.93    671.93    340.83    340.83    340.83   1147.89   1147.89   1147.89
       642   -814.62    480.81      1.50      1.00      2.00    945.93    945.93    945.93   1264.95   1264.95   1264.95    786.23    786.23    786.23   1493.09   1493.09   1493.09    515.31    515.31    515.31    497.39    497.39    497.39   1369.90   1369.90   1369.90
       643   -767.87    183.67      1.50      1.00      2.00    789.53    789.53    789.53   1279.82   1279.82   1279.82   1000.83   1000.83   1000.83   1083.36   1083.36   1083.36    296.01    296.01    296.01    733.07    733.07    733.07   1245.75   1245.75   1245.75
       644   -133.37    681.77      1.50      1.00      2.00    694.69    694.69    694.69   1361.71   1361.71   1361.71   1379.00   1379.00   1379.00   1058.77   1058.77   1058.77   1102.66   1102.66   1102.66    410.34    410.34    410.34    659.63    659.63    659.63
       645   -319.70   -178.31      1.50      1.00      2.00    366.07    366.07    366.07   1331.70   1331.70   1331.70   1070.00   1070.00   1070.00    710.99    710.99    710.99    703.27    703.27    703.27   1059.80   1059.80   1059.80   1327.63   1327.63   1327.63
       646    158.07    187.82      1.50      1.00      2.00    245.48    245.48    245.48    862.63    862.63    862.63   1107.95   1107.95   1107.95   1242.45   1242.45   1242.45   1173.20   1173.20   1173.20    945.02    945.02    945.02    759.55    759.55    759.55
       647    538.24   -678.11      1.50      0.00      2.00    865.76    865.76    865.76    820.40    820.40    820.40    191.79    191.79    191.79   1055.12   1055.12   1055.12   1150.70   1150.70   1150.70    979.95    979.95    979.95   1183.47   1183.47   1183.47
       648   -748.60   -853.50      1.50      1.00      2.00   1135.28   1135.28   1135.28    751.51    751.51    751.51   1248.66   1248.66   1248.66    248.92    248.92    248.92    889.76    889.76    889.76    913.86    913.86    913.86   1154.27   1154.27   1154.27
       649    139.28   1165.66      1.50      0.00      2.00   1173.96   1173.96   1173.96   1449.00   1449.00   1449.00   1030.38   1030.38   1030.38    583.31    583.31    583.31   1393.31   1393.31   1393.31    706.01    706.01    706.01    468.92    468.92    468.92
       650   -448.06    937.09      1.50      0.00      2.00   1038.70   1038.70   1038.70    967.83    967.83    967.83   1054.34   1054.34   1054.34    912.58    912.58    912.58   1087.55   1087.55   1087.55     88.00     88.00     88.00    950.72    950.72    950.72
       651    130.93    218.99      1.50      0.00      2.00    255.14    255.14    255.14    896.24    896.24    896.24   1146.09   1146.09   1146.09   1255.14   1255.14   1255.14   1151.93   1151.93   1151.93    903.74    903.74    903.74    744.92    744.92    744.92
       652    864.85   -760.57      1.50      1.00      2.00   1151.71   1151.71   1151.71    772.49    772.49    772.49    379.79    379.79    379.79   1368.92   1368.92   1368.92    980.88    980.88    980.88    643.85    643.85    643.85   1300.70   1300.70   1300.70
       653   -343.24    796.70      1.50      0.00      2.00    867.49    867.49    867.49   1142.94   1142.94   1142.94   1158.84   1158.84   1158.84    996.39    996.39    996.39   1032.50   1032.50   1032.50    171.42    171.42    171.42    846.09    846.09    846.09
       654    235.74   -309.71      1.50      0.00      2.00    389.22    389.22    389.22    824.63    824.63    824.63    615.92    615.92    615.92    922.40    922.40    922.40   1273.96   1273.96   1273.96   1386.98   1386.98   1386.98   1205.09   1205.09   1205.09
       655  -1323.12   -135.04      1.50      1.00      2.00   1329.99   1329.99   1329.99    752.11    752.11    752.11   1016.60   1016.60   1016.60   1100.86   1100.86   1100.86    350.20    350.20    350.20   1296.04   1296.04   1296.04    690.22    690.22    690.22
       656  -1229.72     12.63      1.50      1.00      2.00   1229.78   1229.78   1229.78    919.31    919.31    919.31    895.19    895.19    895.19   1142.18   1142.18   1142.18    230.07    230.07    230.07   1122.86   1122.86   1122.86    770.38    770.38    770.38
       657    298.34    862.27      1.50      0.00      2.00    912.43    912.43    912.43   1111.68   1111.68   1111.68   1117.55   1117.55   1117.55    919.57    919.57    919.57   1201.66   1201.66   1201.66    798.35    798.35    798.35    201.69    201.69    201.69
       658    438.10  -1160.23      1.50      0.00      2.00   1240.19   1240.19   1240.19   1289.14   1289.14   1289.14    300.62    300.62    300.62    983.14    983.14    983.14    801.73    801.73    801.73   1101.90   1101.90   1101.90    720.39    720.39    720.39
       659    895.76    174.72      1.50      0.00      2.00    912.64    912.64    912.64    203.45    203.45    203.45   1113.48   1113.48   1113.48   1117.98   1117.98   1117.98    918.18    918.18    918.18   1203.46   1203.46   1203.46    796.59    796.59    796.59
       660   -302.35    198.53      1.50      0.00      2.00    361.70    361.70    361.70   1317.39   1317.39   1317.39   1333.07   1333.07   1333.07   1082.77   1082.77   1082.77    725.35    725.35    725.35    696.17    696.17    696.17   1043.72   1043.72   1043.72
       661    296.25    956.40      1.50      0.00      2.00   1001.24   1001.24   1001.24   1187.42   1187.42   1187.42   1047.36   1047.36   1047.36    830.35    830.35    830.35   1207.13   1207.13   1207.13    801.36    801.36    801.36    222.88    222.88    222.88
       662   1120.67   -301.90      1.50      0.00      2.00   1160.62   1160.62   1160.62    325.12    325.12    325.12    838.75    838.75    838.75    929.71    929.71    929.71   1228.01   1228.01   1228.01    679.82    679.82    679.82   1322.63   1322.63   1322.63
       663   -321.70   -523.96      1.50      0.00      2.00    614.83    614.83    614.83   1226.96   1226.96   1226.96    890.06    890.06    890.06    385.77    385.77    385.77    857.10    857.10    857.10   1385.54   1385.54   1385.54   1250.24   1250.24   1250.24
       664   -986.67  -1081.00      1.50      0.00      2.00   1463.59   1463.59   1463.59    556.51    556.51    556.51   1502.13   1502.13   1502.13    532.03    532.03    532.03   1081.08   1081.08   1081.08    651.24    651.24    651.24   1182.14   1182.14   1182.14
       665   -256.64   1072.79      1.50      1.00      2.00   1103.06   1103.06   1103.06    993.62    993.62    993.62   1260.43   1260.43   1260.43    707.50    707.50    707.50   1305.17   1305.17   1305.17    319.32    319.32    319.32    784.37    784.37    784.37
