%RELY_Rx  Es  Jmin InputSINR
2928   8.63809119e-01 1.36190881e-01 	8.0227	 8.0227
2988   8.78497659e-01 1.21502341e-01 	8.59156	 8.59156
3112   8.59026217e-01 1.40973783e-01 	7.84868	 7.84868
3185   9.25166741e-01 7.48332591e-02 	10.9213	 10.9213
2759   7.77915889e-01 2.22084111e-01 	5.44415	 5.44415
2840   8.75008414e-01 1.24991586e-01 	8.45131	 8.45131
2862   7.91370552e-01 2.08629448e-01 	5.79004	 5.79004
2969   6.14170193e-01 3.85829807e-01 	2.01893	 2.01893
2975   8.84467123e-01 1.15532877e-01 	8.83976	 8.83976
3044   8.33096694e-01 1.66903306e-01 	6.9823	 6.9823
3066   8.08642962e-01 1.91357038e-01 	6.25912	 6.25912
2907   7.77178303e-01 2.22821697e-01 	5.42563	 5.42563
2998   8.47366116e-01 1.52633884e-01 	7.4442	 7.4442
3084   8.73321928e-01 1.26678072e-01 	8.38473	 8.38473
