
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
       667    287.26   -906.82      1.50      0.00      2.00    951.23    951.23    951.23   1153.40   1153.40   1153.40    216.62    216.62    216.62    788.31    788.31    788.31   1090.45   1090.45   1090.45   1213.43   1213.43   1213.43    873.84    873.84    873.84
       668   -177.14   -440.35      1.50      0.00      2.00    474.65    474.65    474.65   1256.81   1256.81   1256.81    799.84    799.84    799.84    534.28    534.28    534.28    933.28    933.28    933.28   1345.71   1345.71   1345.71   1471.46   1471.46   1471.46
       669   -114.49  -1045.21      1.50      1.00      2.00   1051.46   1051.46   1051.46   1397.05   1397.05   1397.05    640.07    640.07    640.07    425.11    425.11    425.11   1369.89   1369.89   1369.89   1120.69   1120.69   1120.69    696.37    696.37    696.37
       670   -727.47    473.88      1.50      1.00      2.00    868.21    868.21    868.21   1287.40   1287.40   1287.40    866.37    866.37    866.37   1453.39   1453.39   1453.39    546.65    546.65    546.65    453.37    453.37    453.37   1288.60   1288.60   1288.60
       671   -208.69   1270.83      1.50      1.00      2.00   1287.85   1287.85   1287.85    915.93    915.93    915.93   1353.26   1353.26   1353.26    506.28    506.28    506.28   1497.06   1497.06   1497.06    498.70    498.70    498.70    816.15    816.15    816.15
       672    345.72    975.82      1.50      1.00      2.00   1035.25   1035.25   1035.25   1174.87   1174.87   1174.87   1000.02   1000.02   1000.02    831.55    831.55    831.55   1159.49   1159.49   1159.49    852.81    852.81    852.81    189.35    189.35    189.35
       673   1150.67   -210.77      1.50      0.00      2.00   1169.82   1169.82   1169.82    259.09    259.09    259.09    923.45    923.45    923.45    875.09    875.09    875.09   1132.07   1132.07   1132.07    742.58    742.58    742.58   1258.14   1258.14   1258.14
       674    967.49   -436.43      1.50      1.00      2.00   1061.37   1061.37   1061.37    437.64    437.64    437.64    634.92    634.92    634.92   1120.96   1120.96   1120.96   1407.13   1407.13   1407.13    684.21    684.21    684.21   1383.83   1383.83   1383.83
       675   -911.01    947.02      1.50      0.00      2.00   1314.07   1314.07   1314.07    790.11    790.11    790.11    594.53    594.53    594.53   1202.62   1202.62   1202.62    951.19    951.19    951.19    418.91    418.91    418.91   1413.33   1413.33   1413.33
       676   -489.25   1411.69      1.50      1.00      2.00   1494.06   1494.06   1494.06    602.93    602.93    602.93   1148.62   1148.62   1148.62    584.84    584.84    584.84   1501.24   1501.24   1501.24    545.74    545.74    545.74   1129.75   1129.75   1129.75
       677    257.66    -77.07      1.50      1.00      2.00    268.94    268.94    268.94    746.33    746.33    746.33    825.36    825.36    825.36   1093.87   1093.87   1093.87   1260.02   1260.02   1260.02   1209.76   1209.76   1209.76    973.76    973.76    973.76
       678     36.31    199.09      1.50      0.00      2.00    202.38    202.38    202.38    984.04    984.04    984.04   1161.70   1161.70   1161.70   1192.54   1192.54   1192.54   1055.26   1055.26   1055.26    855.84    855.84    855.84    812.31    812.31    812.31
       679   -917.80   -735.05      1.50      0.00      2.00   1175.87   1175.87   1175.87    596.75    596.75    596.75   1423.84   1423.84   1423.84    437.86    437.86    437.86    739.63    739.63    739.63   1000.43   1000.43   1000.43   1355.16   1355.16   1355.16
       680   -673.86    431.63      1.50      0.00      2.00    800.24    800.24    800.24   1340.74   1340.74   1340.74    933.40    933.40    933.40   1464.68   1464.68   1464.68    541.00    541.00    541.00    467.92    467.92    467.92   1251.66   1251.66   1251.66
       681   -847.47    676.07      1.50      1.00      2.00   1084.10   1084.10   1084.10   1066.99   1066.99   1066.99    679.62    679.62    679.62   1354.04   1354.04   1354.04    693.06    693.06    693.06    396.02    396.02    396.02   1360.80   1360.80   1360.80
       682   -928.27    370.30      1.50      0.00      2.00    999.40    999.40    999.40   1362.14   1362.14   1362.14    756.73    756.73    756.73   1308.43   1308.43   1308.43    377.18    377.18    377.18    655.12    655.12    655.12   1133.90   1133.90   1133.90
       683    192.11   1064.43      1.50      0.00      2.00   1081.63   1081.63   1081.63   1336.30   1336.30   1336.30   1048.08   1048.08   1048.08    694.76    694.76    694.76   1322.85   1322.85   1322.85    719.98    719.98    719.98    366.27    366.27    366.27
