%%  seed (769) : [-1625701355 1073374487 1040570380 1073072844 1614925394 1072901594 -1356829551 1073182837 -1370836337 1072777753] ...  [1073005282 5458788 1072941981 580038862 1072840649 -652454757 1992541292 825206693 -449704068 97]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
911 	 7	 * 0.396713 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
911 	 11	 * 0.638347 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
918 	 0	 * 0.923522 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
918 	 5	 * 0.00979211 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
918 	 3	 * 0.822707 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
918 	 4	 * 0.597115 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
920 	 2	 * 0.14483 *	1	3	[0.995333 0.00466735]	 [0 1]
920 	 0	 * 0.590239 *	1	3	[0.995333 0.00466735]	 [0 1]
920 	 20	 * 0.782091 *	1	3	[0.995333 0.00466735]	 [0 1]
920 	 4	 * 0.0937125 *	1	3	[0.995333 0.00466735]	 [0 1]
924 	 0	 * 0.456415 *	1	3	[0.995333 0.00466735]	 [0 1]
924 	 1	 * 0.797327 *	1	3	[0.995333 0.00466735]	 [0 1]
924 	 9	 * 0.418201 *	1	3	[0.995333 0.00466735]	 [0 1]
924 	 2	 * 0.710295 *	1	3	[0.995333 0.00466735]	 [0 1]
929 	 1	 * 0.326297 *	1	30	[0.995333 0.00466735]	 [0 1]
929 	 13	 * 0.568431 *	1	30	[0.995333 0.00466735]	 [0 1]
929 	 12	 * 0.675679 *	1	30	[0.995333 0.00466735]	 [0 1]
929 	 14	 * 0.0572801 *	1	30	[0.995333 0.00466735]	 [0 1]
930 	 7	 * 0.139563 *	1	3	[0.995333 0.00466735]	 [0 1]
930 	 6	 * 0.838479 *	1	3	[0.995333 0.00466735]	 [0 1]
930 	 2	 * 0.516868 *	1	3	[0.995333 0.00466735]	 [0 1]
