%RELY_Rx  Es  Jmin InputSINR
3178   7.43641687e-01 2.56358313e-01 	4.62516	 4.62516
2756   8.01861287e-01 1.98138713e-01 	6.0713	 6.0713
2794   6.16343601e-01 3.83656399e-01 	2.0588	 2.0588
2840   7.85985036e-01 2.14014964e-01 	5.6497	 5.6497
3037   9.01957262e-01 9.80427379e-02 	9.63771	 9.63771
3151   7.95111795e-01 2.04888205e-01 	5.88911	 5.88911
2881   6.38319038e-01 3.61680962e-01 	2.46712	 2.46712
3009   6.23424515e-01 3.76575485e-01 	2.18932	 2.18932
3111   6.36308457e-01 3.63691543e-01 	2.42934	 2.42934
3143   8.29631661e-01 1.70368339e-01 	6.87496	 6.87496
